ایستگاه,تاریخ,SO2 ppb
شریف.منطقه2,1398/11/05,11
شریف.منطقه2,1398/11/06,9
شریف.منطقه2,1398/11/07,12
شریف.منطقه2,1398/11/08,11
شریف.منطقه2,1398/11/09,14
شریف.منطقه2,1398/11/10,11
شریف.منطقه2,1398/11/11,12
شریف.منطقه2,1398/11/12,7
شریف.منطقه2,1398/11/13,8
شریف.منطقه2,1398/11/14,10
شریف.منطقه2,1398/11/15,10
شریف.منطقه2,1398/11/16,8
شریف.منطقه2,1398/11/17,13
شریف.منطقه2,1398/11/18,9
شریف.منطقه2,1398/11/19,10
شریف.منطقه2,1398/11/20,4
شریف.منطقه2,1398/11/21,5
شریف.منطقه2,1398/11/22,5
شریف.منطقه2,1398/11/23,8
شریف.منطقه2,1398/11/24,9
شریف.منطقه2,1398/11/25,5
شریف.منطقه2,1398/11/26,6
شریف.منطقه2,1398/11/27,7
شریف.منطقه2,1398/11/28,8
شریف.منطقه2,1398/11/29,12
شریف.منطقه2,1398/11/30,10
شریف.منطقه2,1398/12/01,6
شریف.منطقه2,1398/12/02,8
شریف.منطقه2,1398/12/03,8
شریف.منطقه2,1398/12/04,6
شریف.منطقه2,1398/12/05,8
شریف.منطقه2,1398/12/06,5
شریف.منطقه2,1398/12/07,5
شریف.منطقه2,1398/12/08,8
شریف.منطقه2,1398/12/09,8
شریف.منطقه2,1398/12/10,10
شریف.منطقه2,1398/12/11,8
شریف.منطقه2,1398/12/12,4
شریف.منطقه2,1398/12/13,4
شریف.منطقه2,1398/12/14,8
شریف.منطقه2,1398/12/15,7
شریف.منطقه2,1398/12/16,7
شریف.منطقه2,1398/12/17,6
شریف.منطقه2,1398/12/18,8
شریف.منطقه2,1398/12/19,6
شریف.منطقه2,1398/12/20,7
شریف.منطقه2,1398/12/21,11
شریف.منطقه2,1398/12/22,9
شریف.منطقه2,1398/12/23,9
شریف.منطقه2,1398/12/24,5
شریف.منطقه2,1398/12/25,5
شریف.منطقه2,1398/12/26,6
شریف.منطقه2,1398/12/27,4
شریف.منطقه2,1398/12/28,7
شریف.منطقه2,1398/12/29,5
شریف.منطقه2,1399/01/01,4
شریف.منطقه2,1399/01/02,4
شریف.منطقه2,1399/01/03,5
شریف.منطقه2,1399/01/04,3
شریف.منطقه2,1399/01/05,4
شریف.منطقه2,1399/01/06,5
شریف.منطقه2,1399/01/07,3
شریف.منطقه2,1399/01/08,3
