ایستگاه,تاریخ,SO2 ppb
مسعودیه.منطقه15,1398/05/27,3
مسعودیه.منطقه15,1398/05/28,3
مسعودیه.منطقه15,1398/05/29,3
مسعودیه.منطقه15,1398/05/30,3
مسعودیه.منطقه15,1398/05/31,2
مسعودیه.منطقه15,1398/06/01,2
مسعودیه.منطقه15,1398/06/02,2
مسعودیه.منطقه15,1398/06/03,2
مسعودیه.منطقه15,1398/06/04,3
مسعودیه.منطقه15,1398/06/05,3
مسعودیه.منطقه15,1398/06/06,3
مسعودیه.منطقه15,1398/06/07,3
مسعودیه.منطقه15,1398/06/08,3
مسعودیه.منطقه15,1398/06/09,2
مسعودیه.منطقه15,1398/06/10,2
مسعودیه.منطقه15,1398/06/11,2
مسعودیه.منطقه15,1398/06/12,2
مسعودیه.منطقه15,1398/06/13,2
مسعودیه.منطقه15,1398/06/14,2
مسعودیه.منطقه15,1398/06/15,2
مسعودیه.منطقه15,1398/06/16,2
مسعودیه.منطقه15,1398/06/17,2
مسعودیه.منطقه15,1398/06/18,2
مسعودیه.منطقه15,1398/06/19,2
مسعودیه.منطقه15,1398/06/20,3
مسعودیه.منطقه15,1398/06/21,3
مسعودیه.منطقه15,1398/06/22,2
مسعودیه.منطقه15,1398/06/23,3
مسعودیه.منطقه15,1398/06/24,2
مسعودیه.منطقه15,1398/06/25,3
مسعودیه.منطقه15,1398/06/26,2
مسعودیه.منطقه15,1398/06/27,2
مسعودیه.منطقه15,1398/06/28,3
مسعودیه.منطقه15,1398/06/29,2
مسعودیه.منطقه15,1398/06/30,3
مسعودیه.منطقه15,1398/06/31,2
مسعودیه.منطقه15,1398/07/01,2
مسعودیه.منطقه15,1398/07/02,2
مسعودیه.منطقه15,1398/07/03,3
مسعودیه.منطقه15,1398/07/04,2
مسعودیه.منطقه15,1398/07/05,2
مسعودیه.منطقه15,1398/07/06,3
مسعودیه.منطقه15,1398/07/07,2
مسعودیه.منطقه15,1398/07/08,3
مسعودیه.منطقه15,1398/07/09,2
مسعودیه.منطقه15,1398/07/10,2
مسعودیه.منطقه15,1398/07/11,2
مسعودیه.منطقه15,1398/07/12,2
مسعودیه.منطقه15,1398/07/13,3
مسعودیه.منطقه15,1398/07/14,5
مسعودیه.منطقه15,1398/07/15,5
مسعودیه.منطقه15,1398/07/16,6
مسعودیه.منطقه15,1398/07/17,5
مسعودیه.منطقه15,1398/07/18,4
مسعودیه.منطقه15,1398/07/19,5
مسعودیه.منطقه15,1398/07/20,4
مسعودیه.منطقه15,1398/07/21,4
مسعودیه.منطقه15,1398/07/22,5
مسعودیه.منطقه15,1398/07/23,8
مسعودیه.منطقه15,1398/07/24,4
مسعودیه.منطقه15,1398/07/25,5
مسعودیه.منطقه15,1398/07/26,5
مسعودیه.منطقه15,1398/07/27,4
مسعودیه.منطقه15,1398/07/28,7
مسعودیه.منطقه15,1398/07/29,4
مسعودیه.منطقه15,1398/07/30,4
مسعودیه.منطقه15,1398/08/01,3
مسعودیه.منطقه15,1398/08/02,4
