ایستگاه,تاریخ,SO2 ppb
ستاد.بحران.منطقه7,1398/04/02,4
ستاد.بحران.منطقه7,1398/04/03,4
ستاد.بحران.منطقه7,1398/04/04,4
ستاد.بحران.منطقه7,1398/04/05,5
ستاد.بحران.منطقه7,1398/04/06,4
ستاد.بحران.منطقه7,1398/04/07,4
ستاد.بحران.منطقه7,1398/04/08,4
ستاد.بحران.منطقه7,1398/04/09,4
ستاد.بحران.منطقه7,1398/04/10,4
ستاد.بحران.منطقه7,1398/04/11,4
ستاد.بحران.منطقه7,1398/04/12,5
ستاد.بحران.منطقه7,1398/04/13,4
ستاد.بحران.منطقه7,1398/04/14,5
ستاد.بحران.منطقه7,1398/04/15,5
ستاد.بحران.منطقه7,1398/04/16,4
ستاد.بحران.منطقه7,1398/04/17,4
ستاد.بحران.منطقه7,1398/04/18,5
ستاد.بحران.منطقه7,1398/04/19,4
ستاد.بحران.منطقه7,1398/04/20,4
ستاد.بحران.منطقه7,1398/04/21,4
ستاد.بحران.منطقه7,1398/04/22,4
ستاد.بحران.منطقه7,1398/04/23,4
ستاد.بحران.منطقه7,1398/04/24,5
ستاد.بحران.منطقه7,1398/04/25,4
ستاد.بحران.منطقه7,1398/04/26,5
ستاد.بحران.منطقه7,1398/04/27,4
ستاد.بحران.منطقه7,1398/04/28,5
ستاد.بحران.منطقه7,1398/04/29,5
ستاد.بحران.منطقه7,1398/04/30,4
ستاد.بحران.منطقه7,1398/04/31,3
ستاد.بحران.منطقه7,1398/05/01,5
ستاد.بحران.منطقه7,1398/05/02,5
ستاد.بحران.منطقه7,1398/05/03,6
ستاد.بحران.منطقه7,1398/05/04,6
ستاد.بحران.منطقه7,1398/05/05,7
ستاد.بحران.منطقه7,1398/05/06,3
ستاد.بحران.منطقه7,1398/05/07,5
ستاد.بحران.منطقه7,1398/05/08,4
ستاد.بحران.منطقه7,1398/05/09,4
ستاد.بحران.منطقه7,1398/05/10,3
ستاد.بحران.منطقه7,1398/05/11,4
ستاد.بحران.منطقه7,1398/05/12,3
ستاد.بحران.منطقه7,1398/05/13,5
ستاد.بحران.منطقه7,1398/05/14,4
ستاد.بحران.منطقه7,1398/05/15,5
ستاد.بحران.منطقه7,1398/05/16,5
ستاد.بحران.منطقه7,1398/05/17,4
ستاد.بحران.منطقه7,1398/05/18,5
ستاد.بحران.منطقه7,1398/05/19,4
ستاد.بحران.منطقه7,1398/05/20,3
ستاد.بحران.منطقه7,1398/05/21,3
ستاد.بحران.منطقه7,1398/05/22,4
ستاد.بحران.منطقه7,1398/05/23,4
ستاد.بحران.منطقه7,1398/05/24,4
ستاد.بحران.منطقه7,1398/05/25,4
ستاد.بحران.منطقه7,1398/05/26,5
ستاد.بحران.منطقه7,1398/05/27,4
ستاد.بحران.منطقه7,1398/05/28,6
ستاد.بحران.منطقه7,1398/05/29,6
ستاد.بحران.منطقه7,1398/05/30,5
ستاد.بحران.منطقه7,1398/05/31,5
ستاد.بحران.منطقه7,1398/06/01,4
ستاد.بحران.منطقه7,1398/06/02,4
ستاد.بحران.منطقه7,1398/06/03,4
ستاد.بحران.منطقه7,1398/06/04,5
ستاد.بحران.منطقه7,1398/06/05,6
ستاد.بحران.منطقه7,1398/06/06,5
ستاد.بحران.منطقه7,1398/06/07,4
ستاد.بحران.منطقه7,1398/06/08,4
ستاد.بحران.منطقه7,1398/06/09,4
ستاد.بحران.منطقه7,1398/06/10,5
ستاد.بحران.منطقه7,1398/06/11,5
ستاد.بحران.منطقه7,1398/06/12,5
ستاد.بحران.منطقه7,1398/06/13,4
ستاد.بحران.منطقه7,1398/06/14,5
ستاد.بحران.منطقه7,1398/06/15,5
ستاد.بحران.منطقه7,1398/06/16,3
ستاد.بحران.منطقه7,1398/06/17,4
ستاد.بحران.منطقه7,1398/06/18,4
ستاد.بحران.منطقه7,1398/06/19,4
ستاد.بحران.منطقه7,1398/06/20,5
ستاد.بحران.منطقه7,1398/06/21,4
ستاد.بحران.منطقه7,1398/06/22,4
ستاد.بحران.منطقه7,1398/06/23,4
ستاد.بحران.منطقه7,1398/06/24,6
ستاد.بحران.منطقه7,1398/06/25,4
ستاد.بحران.منطقه7,1398/06/26,3
ستاد.بحران.منطقه7,1398/06/27,3
ستاد.بحران.منطقه7,1398/06/28,4
ستاد.بحران.منطقه7,1398/06/29,3
ستاد.بحران.منطقه7,1398/06/30,3
ستاد.بحران.منطقه7,1398/06/31,3
ستاد.بحران.منطقه7,1398/07/01,6
ستاد.بحران.منطقه7,1398/07/02,4
ستاد.بحران.منطقه7,1398/07/03,4
ستاد.بحران.منطقه7,1398/07/04,4
ستاد.بحران.منطقه7,1398/07/05,4
ستاد.بحران.منطقه7,1398/07/06,5
ستاد.بحران.منطقه7,1398/07/07,5
ستاد.بحران.منطقه7,1398/07/08,4
ستاد.بحران.منطقه7,1398/07/09,6
ستاد.بحران.منطقه7,1398/07/10,6
ستاد.بحران.منطقه7,1398/07/11,5
ستاد.بحران.منطقه7,1398/07/12,5
ستاد.بحران.منطقه7,1398/07/13,3
ستاد.بحران.منطقه7,1398/07/14,5
ستاد.بحران.منطقه7,1398/07/15,5
ستاد.بحران.منطقه7,1398/07/16,4
ستاد.بحران.منطقه7,1398/07/17,4
ستاد.بحران.منطقه7,1398/07/18,4
ستاد.بحران.منطقه7,1398/07/19,4
ستاد.بحران.منطقه7,1398/07/20,4
ستاد.بحران.منطقه7,1398/07/21,4
ستاد.بحران.منطقه7,1398/07/22,3
ستاد.بحران.منطقه7,1398/07/23,3
ستاد.بحران.منطقه7,1398/07/24,3
ستاد.بحران.منطقه7,1398/07/25,3
ستاد.بحران.منطقه7,1398/07/26,3
ستاد.بحران.منطقه7,1398/07/27,2
ستاد.بحران.منطقه7,1398/07/28,3
ستاد.بحران.منطقه7,1398/07/29,5
ستاد.بحران.منطقه7,1398/07/30,3
ستاد.بحران.منطقه7,1398/08/01,4
ستاد.بحران.منطقه7,1398/08/02,3
ستاد.بحران.منطقه7,1398/08/03,2
ستاد.بحران.منطقه7,1398/08/04,3
ستاد.بحران.منطقه7,1398/08/05,3
ستاد.بحران.منطقه7,1398/08/06,3
ستاد.بحران.منطقه7,1398/08/07,4
ستاد.بحران.منطقه7,1398/08/08,4
ستاد.بحران.منطقه7,1398/08/09,3
ستاد.بحران.منطقه7,1398/08/10,3
ستاد.بحران.منطقه7,1398/08/11,4
ستاد.بحران.منطقه7,1398/08/12,4
ستاد.بحران.منطقه7,1398/08/13,3
ستاد.بحران.منطقه7,1398/08/14,4
ستاد.بحران.منطقه7,1398/08/15,4
ستاد.بحران.منطقه7,1398/08/16,5
ستاد.بحران.منطقه7,1398/08/17,3
ستاد.بحران.منطقه7,1398/08/18,4
ستاد.بحران.منطقه7,1398/08/19,4
ستاد.بحران.منطقه7,1398/08/20,5
ستاد.بحران.منطقه7,1398/08/21,4
ستاد.بحران.منطقه7,1398/08/22,4
ستاد.بحران.منطقه7,1398/08/23,5
ستاد.بحران.منطقه7,1398/08/24,4
ستاد.بحران.منطقه7,1398/08/25,3
ستاد.بحران.منطقه7,1398/08/26,3
ستاد.بحران.منطقه7,1398/08/27,4
ستاد.بحران.منطقه7,1398/08/28,4
ستاد.بحران.منطقه7,1398/08/29,4
ستاد.بحران.منطقه7,1398/08/30,3
ستاد.بحران.منطقه7,1398/09/01,4
ستاد.بحران.منطقه7,1398/09/02,4
ستاد.بحران.منطقه7,1398/09/03,3
ستاد.بحران.منطقه7,1398/09/04,4
ستاد.بحران.منطقه7,1398/09/05,4
ستاد.بحران.منطقه7,1398/09/06,7
ستاد.بحران.منطقه7,1398/09/07,6
ستاد.بحران.منطقه7,1398/09/08,7
ستاد.بحران.منطقه7,1398/09/09,5
ستاد.بحران.منطقه7,1398/09/10,5
ستاد.بحران.منطقه7,1398/09/11,6
ستاد.بحران.منطقه7,1398/09/12,4
ستاد.بحران.منطقه7,1398/09/13,4
ستاد.بحران.منطقه7,1398/09/14,4
ستاد.بحران.منطقه7,1398/09/15,3
ستاد.بحران.منطقه7,1398/09/16,3
ستاد.بحران.منطقه7,1398/09/17,3
ستاد.بحران.منطقه7,1398/09/18,4
ستاد.بحران.منطقه7,1398/09/19,4
ستاد.بحران.منطقه7,1398/09/20,4
ستاد.بحران.منطقه7,1398/09/21,4
ستاد.بحران.منطقه7,1398/09/22,4
ستاد.بحران.منطقه7,1398/09/23,4
ستاد.بحران.منطقه7,1398/09/24,4
ستاد.بحران.منطقه7,1398/09/25,5
ستاد.بحران.منطقه7,1398/09/26,4
ستاد.بحران.منطقه7,1398/09/27,4
ستاد.بحران.منطقه7,1398/09/28,4
ستاد.بحران.منطقه7,1398/09/29,3
ستاد.بحران.منطقه7,1398/09/30,5
ستاد.بحران.منطقه7,1398/10/01,8
ستاد.بحران.منطقه7,1398/10/02,6
ستاد.بحران.منطقه7,1398/10/03,7
ستاد.بحران.منطقه7,1398/10/04,6
ستاد.بحران.منطقه7,1398/10/05,5
ستاد.بحران.منطقه7,1398/10/06,5
ستاد.بحران.منطقه7,1398/10/07,4
ستاد.بحران.منطقه7,1398/10/08,4
ستاد.بحران.منطقه7,1398/10/09,3
ستاد.بحران.منطقه7,1398/10/10,5
ستاد.بحران.منطقه7,1398/10/11,4
ستاد.بحران.منطقه7,1398/10/12,4
ستاد.بحران.منطقه7,1398/10/13,6
ستاد.بحران.منطقه7,1398/10/14,5
ستاد.بحران.منطقه7,1398/10/15,3
ستاد.بحران.منطقه7,1398/10/17,5
ستاد.بحران.منطقه7,1398/10/18,4
ستاد.بحران.منطقه7,1398/10/19,3
ستاد.بحران.منطقه7,1398/10/20,3
ستاد.بحران.منطقه7,1398/10/21,3
ستاد.بحران.منطقه7,1398/10/22,4
ستاد.بحران.منطقه7,1398/10/23,6
ستاد.بحران.منطقه7,1398/10/24,5
ستاد.بحران.منطقه7,1398/10/25,5
ستاد.بحران.منطقه7,1398/10/26,6
ستاد.بحران.منطقه7,1398/10/27,4
ستاد.بحران.منطقه7,1398/10/28,5
ستاد.بحران.منطقه7,1398/10/29,4
ستاد.بحران.منطقه7,1398/10/30,5
ستاد.بحران.منطقه7,1398/11/01,4
ستاد.بحران.منطقه7,1398/11/02,4
ستاد.بحران.منطقه7,1398/11/03,3
ستاد.بحران.منطقه7,1398/11/04,4
ستاد.بحران.منطقه7,1398/11/05,5
ستاد.بحران.منطقه7,1398/11/06,3
ستاد.بحران.منطقه7,1398/11/07,4
ستاد.بحران.منطقه7,1398/11/08,8
ستاد.بحران.منطقه7,1398/11/09,9
ستاد.بحران.منطقه7,1398/11/10,8
ستاد.بحران.منطقه7,1398/11/11,6
ستاد.بحران.منطقه7,1398/11/12,4
ستاد.بحران.منطقه7,1398/11/13,5
ستاد.بحران.منطقه7,1398/11/14,6
ستاد.بحران.منطقه7,1398/11/15,5
ستاد.بحران.منطقه7,1398/11/16,4
ستاد.بحران.منطقه7,1398/11/17,6
ستاد.بحران.منطقه7,1398/11/18,4
ستاد.بحران.منطقه7,1398/11/19,5
ستاد.بحران.منطقه7,1398/11/20,4
ستاد.بحران.منطقه7,1398/11/21,4
ستاد.بحران.منطقه7,1398/11/22,4
ستاد.بحران.منطقه7,1398/11/23,5
ستاد.بحران.منطقه7,1398/11/24,6
ستاد.بحران.منطقه7,1398/11/25,3
ستاد.بحران.منطقه7,1398/11/26,4
ستاد.بحران.منطقه7,1398/11/27,4
ستاد.بحران.منطقه7,1398/11/28,5
ستاد.بحران.منطقه7,1398/11/29,6
ستاد.بحران.منطقه7,1398/11/30,4
ستاد.بحران.منطقه7,1398/12/01,4
ستاد.بحران.منطقه7,1398/12/02,3
ستاد.بحران.منطقه7,1398/12/03,3
ستاد.بحران.منطقه7,1398/12/04,4
ستاد.بحران.منطقه7,1398/12/05,4
ستاد.بحران.منطقه7,1398/12/06,3
ستاد.بحران.منطقه7,1398/12/07,3
ستاد.بحران.منطقه7,1398/12/08,3
ستاد.بحران.منطقه7,1398/12/09,5
ستاد.بحران.منطقه7,1398/12/10,5
ستاد.بحران.منطقه7,1398/12/11,3
ستاد.بحران.منطقه7,1398/12/12,3
ستاد.بحران.منطقه7,1398/12/13,3
ستاد.بحران.منطقه7,1398/12/14,3
ستاد.بحران.منطقه7,1398/12/15,4
ستاد.بحران.منطقه7,1398/12/16,4
ستاد.بحران.منطقه7,1398/12/17,4
ستاد.بحران.منطقه7,1398/12/18,4
ستاد.بحران.منطقه7,1398/12/19,3
ستاد.بحران.منطقه7,1398/12/20,3
ستاد.بحران.منطقه7,1398/12/21,6
ستاد.بحران.منطقه7,1398/12/22,5
ستاد.بحران.منطقه7,1398/12/23,5
ستاد.بحران.منطقه7,1398/12/24,4
ستاد.بحران.منطقه7,1398/12/25,3
ستاد.بحران.منطقه7,1398/12/26,4
ستاد.بحران.منطقه7,1398/12/27,3
ستاد.بحران.منطقه7,1398/12/28,3
ستاد.بحران.منطقه7,1398/12/29,3
ستاد.بحران.منطقه7,1399/01/01,3
ستاد.بحران.منطقه7,1399/01/02,3
