ایستگاه,تاریخ,SO2 ppb
پونک,1398/10/17,6
پونک,1398/10/18,8
پونک,1398/10/19,3
پونک,1398/10/20,3
پونک,1398/10/21,3
پونک,1398/10/22,5
پونک,1398/10/23,10
پونک,1398/10/24,4
پونک,1398/10/25,5
پونک,1398/10/26,8
پونک,1398/10/27,4
پونک,1398/10/28,3
پونک,1398/10/29,3
پونک,1398/10/30,4
پونک,1398/11/01,10
پونک,1398/11/02,4
پونک,1398/11/03,3
پونک,1398/11/04,5
پونک,1398/11/05,6
پونک,1398/11/06,4
پونک,1398/11/07,5
پونک,1398/11/08,7
پونک,1398/11/09,8
پونک,1398/11/10,7
پونک,1398/11/11,6
پونک,1398/11/12,3
پونک,1398/11/13,5
پونک,1398/11/14,5
پونک,1398/11/15,5
پونک,1398/11/16,5
پونک,1398/11/17,7
پونک,1398/11/18,4
پونک,1398/11/19,5
پونک,1398/11/20,2
پونک,1398/11/21,2
پونک,1398/11/22,3
پونک,1398/11/23,6
پونک,1398/11/24,6
پونک,1398/11/25,3
پونک,1398/11/26,3
پونک,1398/11/27,6
پونک,1398/11/28,4
پونک,1398/11/29,5
پونک,1398/11/30,7
پونک,1398/12/01,3
پونک,1398/12/02,4
پونک,1398/12/03,4
پونک,1398/12/04,3
پونک,1398/12/05,3
پونک,1398/12/06,2
پونک,1398/12/07,2
پونک,1398/12/08,4
پونک,1398/12/09,6
پونک,1398/12/10,7
پونک,1398/12/11,5
پونک,1398/12/12,2
پونک,1398/12/13,2
پونک,1398/12/14,4
پونک,1398/12/15,4
پونک,1398/12/16,4
پونک,1398/12/17,4
پونک,1398/12/18,6
پونک,1398/12/19,4
پونک,1398/12/20,3
پونک,1398/12/21,6
پونک,1398/12/22,4
پونک,1398/12/23,5
پونک,1398/12/24,3
پونک,1398/12/25,2
پونک,1398/12/26,3
پونک,1398/12/27,2
پونک,1398/12/28,2
پونک,1398/12/29,1
پونک,1399/01/01,2
پونک,1399/01/02,2
پونک,1399/01/03,2
پونک,1399/01/04,1
پونک,1399/01/05,2
پونک,1399/01/06,4
پونک,1399/01/07,2
پونک,1399/01/08,2
پونک,1399/01/09,2
پونک,1399/01/10,2
پونک,1399/01/11,2
پونک,1399/01/12,1
پونک,1399/01/13,2
پونک,1399/01/14,1
پونک,1399/01/15,1
پونک,1399/01/16,1
پونک,1399/01/17,2
پونک,1399/01/18,4
پونک,1399/01/19,2
پونک,1399/01/20,1
پونک,1399/01/21,1
پونک,1399/01/22,1
پونک,1399/01/23,1
پونک,1399/01/24,2
پونک,1399/01/25,2
پونک,1399/01/26,2
پونک,1399/01/27,3
پونک,1399/01/28,2
پونک,1399/01/29,2
پونک,1399/01/30,2
پونک,1399/01/31,2
پونک,1399/02/01,2
پونک,1399/02/02,2
پونک,1399/02/03,2
پونک,1399/02/04,2
پونک,1399/02/05,2
پونک,1399/02/06,2
پونک,1399/02/07,2
پونک,1399/02/08,2
پونک,1399/02/09,2
پونک,1399/02/10,2
پونک,1399/02/11,2
پونک,1399/02/12,1
پونک,1399/02/13,2
پونک,1399/02/14,2
پونک,1399/02/15,2
پونک,1399/02/16,2
پونک,1399/02/17,2
پونک,1399/02/18,2
پونک,1399/02/19,2
پونک,1399/02/20,2
پونک,1399/02/21,2
پونک,1399/02/22,2
پونک,1399/02/23,1
پونک,1399/02/24,2
پونک,1399/02/25,4
پونک,1399/02/26,3
پونک,1399/02/27,3
پونک,1399/02/28,3
پونک,1399/02/29,3
پونک,1399/02/30,4
پونک,1399/02/31,2
پونک,1399/03/01,3
پونک,1399/03/02,3
پونک,1399/03/03,2
پونک,1399/03/04,2
پونک,1399/03/05,2
پونک,1399/03/06,2
پونک,1399/03/07,2
پونک,1399/03/08,3
پونک,1399/03/09,2
پونک,1399/03/10,2
پونک,1399/03/11,3
پونک,1399/03/12,3
پونک,1399/03/13,3
پونک,1399/03/14,2
پونک,1399/03/15,2
پونک,1399/03/16,2
پونک,1399/03/17,2
پونک,1399/03/18,3
پونک,1399/03/19,4
پونک,1399/03/20,4
پونک,1399/03/21,3
پونک,1399/03/22,3
پونک,1399/03/23,2
پونک,1399/03/24,3
پونک,1399/03/25,3
پونک,1399/03/26,4
پونک,1399/03/27,2
پونک,1399/03/28,3
پونک,1399/03/29,3
پونک,1399/03/30,2
پونک,1399/03/31,4
پونک,1399/04/01,3
پونک,1399/04/02,2
پونک,1399/04/03,3
پونک,1399/04/04,6
پونک,1399/04/05,3
پونک,1399/04/06,3
پونک,1399/04/07,3
پونک,1399/04/08,3
پونک,1399/04/09,3
پونک,1399/04/10,2
پونک,1399/04/11,3
پونک,1399/04/12,3
پونک,1399/04/13,3
پونک,1399/04/14,3
پونک,1399/04/15,4
پونک,1399/04/16,3
پونک,1399/04/17,3
پونک,1399/04/18,2
پونک,1399/04/19,2
پونک,1399/04/20,2
پونک,1399/04/21,2
پونک,1399/04/22,3
پونک,1399/04/23,3
پونک,1399/04/24,2
پونک,1399/04/25,2
پونک,1399/04/26,2
پونک,1399/04/27,2
